k,curve_a,curve_b,curve_p,order,P.x,P.y,Q.x,Q.y,X_i.x,X_i.y,A_i,B_i,x_i.x,x_i.y,a_i,b_i
8000000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,619110331661304381838322941625,1302718626292899581149740793750,380421703196432,12407776162072,401640437813385224853432986864,17858633744269536218795170531,572710048345997,304873019449803
8100000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,26114655211626511066253051311,374526307284382081205841504676,28853399151662,24030826062732,1098768086672587825630652077548,1330090764806983691118041880822,405850073662974,934355291477422
8200000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,312974861712586750972137529417,859031678823759763043195325674,615284177750194,831081052231493,715084775467723998461000870042,857720298490057542924732408745,1119365005100659,831518714708274
8300000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,471745788062869068212297421851,581383343658832531215375223447,653620973045183,437990254928958,607912277879145650254295616616,91517352137916530883010842937,802788578523222,1025340732857614
8400000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,481542713458565299395667742889,1247312496910688072362412839577,913474142255327,757401590774191,180425234899610907481160649552,765948419124148673049595935951,711720487217712,1090345518677452
8500000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,259140984111390668450771111886,161384851272919116861418526320,1051136214978279,853528811658409,668916686212615443187638172204,372247961344859911821149405572,728099529657904,841201099291212
8600000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,865717249728562799815248374569,1128947552323814087641668726484,10264956513530,519014446057939,49341065096510169452590568578,834422767692481158179105449046,397002002242350,963293911742220
8700000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,545716115761307887149931289303,4763199772233007456793801475,313008423669338,322323276685844,1122711697880410283436150034238,1154832404818054213998768112568,928960634199854,362643433334299
8800000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,647464999236486793509687950232,801324510512376123077115717657,992105420315690,1021755257936810,331490980905897075988369362361,1152822022792960845597052653209,721238036137143,451263859309209
8900000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,923300001533566576510477350052,499349280810747202695585477051,222150008832163,475161327748299,471630305753322381963570690482,907780541598049699537525864710,701831193239799,526141145249335
9000000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,212863628118603098785547039458,989344850618759571442868246895,1064299847340302,370114351621812,1115079923233236658131425216851,692935643426745920909899529693,391464077170920,448852651852878
9100000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,727628082476199169582331548837,227393223993582900150236313969,440316233640962,150569689683279,561701600079239248851804729668,168509722295914186205976559523,236052805000031,285072984603615
9200000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,904282270160210461177921901900,1260587701094847082260757851298,258598952590462,578952801328715,1214568565882479996126845880826,486758769093215835296540277045,195034183965242,1141256263526047
9300000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,774745827434254110144590957271,853844588437537128235661498771,547941759697556,581066114054008,717281707320827493794608404957,317050090460653107674711232151,505442332379205,880581371215868
9400000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,974747634065573377305555409750,575006605408985842992967863134,9214574518649,1152291323432021,792518187880094885416588571105,1201549632931210799830620255951,756658642703619,244706771802418
9500000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,432102104278376836528119562841,763348293985317922589953004277,458996397715471,164130683129009,746240063023981000883358828705,880342502270212306490567011912,462192313353960,540446042578285
